,accn,taxon,species,genome_size_(mb),num_genes,GC_ratio,5'_gc_ratio,3'_gc_ratio,mid_gc_ratio,gc3_ratio,5'_gc3_ratio,3'_gc3_ratio,mid_gc3_ratio,num_trna,trna_GC_ratio,num_rrna,rrna_GC_ratio,fp_stab,tp_stab,mid_stab,temp,predictedoptimumtemp
0,CP002916,Archaea,Thermoplasmatales_archaeon_BRNA1,1.461105,1522,0.5924333846904508,0.5339100598627536,0.5451890786976201,0.5976967440502263,0.8208134333929861,0.7372974156811213,0.7101949189662724,0.8324025405168638,42,0.5988442822384428,4,0.5155198610809637,-5.678777923784497,-6.75558475689882,-7.38180026281209,na,52.36
1,AE009439,Archaea,Methanopyrus_kandleri_AV19,1.694969,1669,0.6115799405125764,0.5858964116903003,0.5845482990479994,0.612159643166234,0.7555212143342768,0.7485520271619732,0.6763531056520871,0.7607849011384062,34,0.7267871815940838,3,0.687539531941809,-7.461953265428392,-7.723606950269626,-8.004913121629711,98.0,74.54
2,CP003167,Archaea,Methanoregula_formicica_SMSP,2.820858,2811,0.5629506665123225,0.4967686469820941,0.521384244436539,0.5671568046167833,0.6879160827448961,0.6217538242618286,0.6075833036878928,0.6975572157002253,46,0.6059359388774611,1,0.5409836065573771,-4.76680896478122,-6.409071504802549,-6.845464247598731,31.5,43.18
3,CP006670,Archaea,Thermococcus_litoralis_DSM_5473,2.215172,2505,0.4358280710744051,0.4041583499667332,0.4112552672432912,0.4367043690396984,0.4537292963392763,0.4793080505655356,0.4362608117099135,0.4534264803725881,39,0.6993485342019544,3,0.66189111747851,-3.738642714570864,-4.051976047904186,-4.205628742514969,88.0,90.97
4,CP002737,Archaea,Methanotorris_igneus_Kol_5,1.854197,1756,0.3329949877175907,0.3097475322703113,0.284136927360162,0.3382371551505947,0.2750630673579246,0.3255979498861048,0.2621962794229309,0.2737756264236902,21,0.6620516047828823,3,0.6301242236024844,-2.369760820045557,-2.159339407744873,-2.7722665148063776,88.0,76.29
5,BA000011,Archaea,Thermoplasma_volcanium_GSS1,1.584804,1526,0.4098849351688599,0.3794597349643221,0.369484491044124,0.408020241735838,0.4070995484463829,0.4242573176059415,0.3716688510266492,0.4077107907383137,45,0.6105892399658411,3,0.5327268693143998,-3.326671035386631,-3.3275884665792907,-3.7913499344692014,60.0,63.38
6,CP002062,Archaea,Halalkalicoccus_jeotgali_B3,2.809118,3029,0.6608150619138834,0.612486702615458,0.6278107919738821,0.6602197278162943,0.8447277584670124,0.7867558049961484,0.7623252998789479,0.845768680532629,45,0.6239837398373984,1,0.5678927466483328,-7.406569825024777,-8.723869263783426,-9.36279300099043,41.0,49.51
7,AE017261,Archaea,Picrophilus_torridus_DSM_9790,1.545895,1535,0.3707571175819605,0.3357582338038364,0.3141874773796598,0.3767643865363735,0.3638922370953076,0.3807817589576547,0.3070032573289902,0.3664495114006514,41,0.5384858044164038,3,0.5352206865804726,-2.863973941368077,-2.7083387622149857,-3.562149837133548,na,53.58
8,CP007060,Archaea,Halobacterium_sp._DL1,2.846968,2971,0.6825331542285447,0.632680728523879,0.6466303900669435,0.6854220427091514,0.8977779862256071,0.8191966790081903,0.8152417816672276,0.904100751710984,45,0.6173252279635258,1,0.6475409836065574,-7.765903736115787,-9.12409962975428,-9.885762369572523,na,42.77
9,CP009479,Archaea,uncultured_archaeon,2.226687,1867,0.472425615778091,0.4242248408022377,0.4337469499494138,0.4757334999702434,0.5340698558448173,0.4928584181396179,0.4812533476164971,0.538430637386181,40,0.6130181347150259,3,0.5222598870056497,-3.856400642742368,-4.476272094268879,-4.941510444563465,na,54.21
